EID,Xvalue,Yvalue,Zvalue,time
18883,-6.4595561027526855,-8.589199066162111,-5.189432144165039,2017-04-14 20:28:37.291
18884,-7.240066051483152,-9.592369079589844,-5.019443988800049,2017-04-14 20:28:37.301
18885,-8.13669490814209,-11.355698585510256,-3.925293684005737,2017-04-14 20:28:37.311
18886,-7.931990146636963,-13.684060096740724,-1.9321208000183103,2017-04-14 20:28:37.321
18887,-6.300341606140138,-15.746665000915527,0.18794482946395874,2017-04-14 20:28:37.331
18888,-5.317522048950195,-17.25979995727539,1.40180504322052,2017-04-14 20:28:37.342
18889,-4.065354347229004,-17.306486129760742,1.4616601467132568,2017-04-14 20:28:37.351
18890,-2.582146644592285,-16.22071647644043,1.2006921768188477,2017-04-14 20:28:37.361
18891,-1.7549498081207275,-14.640542984008787,1.8363527059555047,2017-04-14 20:28:37.371
18892,-1.780089020729065,-13.52005672454834,2.628833532333374,2017-04-14 20:28:37.381
18893,-3.86543869972229,-12.54561710357666,2.9759926795959486,2017-04-14 20:28:37.392
18894,-5.189432144165039,-10.395624160766602,2.8778305053710938,2017-04-14 20:28:37.402
18895,-5.680243492126465,-7.475894927978516,2.682703018188477,2017-04-14 20:28:37.412
18896,-7.339425086975098,-6.369773387908936,0.507570743560791,2017-04-14 20:28:37.422
18897,-9.271546363830566,-5.950788497924805,-2.0446481704711914,2017-04-14 20:28:37.432
18898,-9.040505409240724,-5.6658782958984375,-3.8726212978363037,2017-04-14 20:28:37.442
18899,-5.9495911598205575,-6.5050458908081055,-1.4724340438842771,2017-04-14 20:28:37.452
18900,-3.33392596244812,-6.824671745300293,1.3850456476211548,2017-04-14 20:28:37.462
18901,-1.256955862045288,-6.357802391052246,2.3594858646392822,2017-04-14 20:28:37.472
18902,-0.35913026332855225,-5.973533153533936,2.1404163837432857,2017-04-14 20:28:37.482
18903,-0.07541735470294952,-5.589263916015625,1.7633295059204102,2017-04-14 20:28:37.491
18904,0.12928688526153564,-5.149928092956543,1.5705963373184204,2017-04-14 20:28:37.501
18905,0.2106897532939911,-4.545392036437988,1.048660397529602,2017-04-14 20:28:37.511
18906,0.4465186297893524,-3.796006679534912,0.28969839215278625,2017-04-14 20:28:37.521
18907,0.6356605291366577,-3.2094273567199707,-0.1472434103488922,2017-04-14 20:28:37.531
18908,0.8870517015457153,-2.9316999912261963,-0.08858546614646913,2017-04-14 20:28:37.541
18909,1.234210968017578,-2.8886044025421143,0.04668693244457245,2017-04-14 20:28:37.552
18910,1.6316484212875366,-2.9460651874542236,0.14006079733371735,2017-04-14 20:28:37.561
18911,1.9057846069335933,-3.043030261993408,0.12689268589019775,2017-04-14 20:28:37.571
18912,1.8974047899246216,-3.250128746032715,0.10893617570400238,2017-04-14 20:28:37.581
18913,1.6675615310668943,-3.623624324798584,0.3734954595565796,2017-04-14 20:28:37.591
18914,1.114500880241394,-4.165910720825194,0.5554547905921936,2017-04-14 20:28:37.601
18915,0.48602294921875,-4.741716384887695,0.7481880187988281,2017-04-14 20:28:37.611
18916,-0.44771572947502136,-5.761646270751952,1.261744260787964,2017-04-14 20:28:37.622
18917,-3.25611424446106,-7.51659631729126,0.9888052940368652,2017-04-14 20:28:37.632
18918,-7.583633899688723,-10.571598052978516,-0.7445967197418213,2017-04-14 20:28:37.641
18919,-18.61850929260254,-17.03115463256836,-7.558494567871094,2017-04-14 20:28:37.652
18920,-37.27053833007813,-24.11080741882324,-19.46845054626465,2017-04-14 20:28:37.661
18921,-39.226600646972656,-15.8903169631958,-14.01565647125244,2017-04-14 20:28:37.672
18922,-23.019052505493164,-1.5418659448623655,-9.62828254699707,2017-04-14 20:28:37.682
18923,-12.124237060546875,3.514688014984132,-13.290213584899902,2017-04-14 20:28:37.693
18924,-7.806294441223144,-0.9552865028381348,-10.249577522277832,2017-04-14 20:28:37.704
18925,-7.032967567443848,-4.923676013946533,-6.609193801879883,2017-04-14 20:28:37.712
18926,-5.503072738647461,-7.326257228851317,-3.728969097137451,2017-04-14 20:28:37.721
